groupe_num,referentialCode,economicRole,processName,article,band,criticalityDivergent,exactDuplicates,questionCount,questions_keys,questions_texts
35,ISO13485,organisme DM,Traçabilité,,mid,false,non,2,Q-13485-T-3038 | Q-13485-T-6672,"Montrez-moi, sur un cas réel récent, comment traçabilité produit, lots, composants et exigences réglementaires applicables est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par traçabilité produit, lots, composants et exigences réglementaires applicables : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
36,ISO13485,organisme DM,Réclamations,,mid,false,non,2,Q-13485-R-1225 | Q-13485-R-4859,"Choisissons un document soumis à traitement des réclamations avec investigation, justification et enregistrements : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées. || Montrez-moi comment vous garantissez que traitement des réclamations avec investigation, justification et enregistrements est respectée sur un enregistrement récent."
37,ISO13485,organisme DM,Audit interne,,mid,false,non,2,Q-13485-AI-1246 | Q-13485-AI-7179,"Montrez-moi, sur un cas réel récent, comment audits internes planifiés et réalisés sur l’ensemble du SMQ est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par audits internes planifiés et réalisés sur l’ensemble du SMQ : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
38,ISO13485,organisme DM,Analyse des données,,mid,true,non,2,Q-13485-AD-5089 | Q-13485-AD-1455,"Prenez un fournisseur critique : montrez-moi comment analyse des données qualité, fournisseurs, feedback, conformité et tendances est appliquée, de la sélection à la surveillance des performances. || Déroulez un cas d'achat récent et prouvez que analyse des données qualité, fournisseurs, feedback, conformité et tendances a été respectée avant utilisation du produit reçu."
39,ISO13485,organisme DM,Action corrective,,low,false,non,2,Q-13485-AC-1826 | Q-13485-AC-6599,"Sortez la liste de vos actions correctives clôturées ces 12 derniers mois : j'en choisis une. Déroulez-la du déclencheur à la clôture : la non-conformité d'origine, l'investigation de cause racine avec la méthode utilisée, la distinction correction immédiate / action corrective, l'évaluation d'impact sur le produit déjà distribué, et la mise à jour du dossier de risques si applicable. Si la cause racine documentée est « erreur opérateur » ou « défaut d'attention », expliquez-moi quelle défaillance du système a permis à cette erreur d'atteindre le produit. || Prenez une action corrective clôturée il y a plus de 6 mois avec vérification d'efficacité « conforme ». Montrez-moi sur quelles données cette efficacité a été conclue : combien d'occurrences du mode de défaillance avant l'action, combien après, sur quelle période et quel volume ? Si la vérification a été faite moins de 30 jours après la mise en œuvre, ou sur un volume trop faible pour être significatif, justifiez pourquoi elle est probante."
40,ISO13485,organisme DM,Action préventive,,low,true,non,2,Q-13485-AP-7100 | Q-13485-AP-7394,"Montrez-moi vos trois dernières actions préventives — pas correctives : préventives, déclenchées AVANT toute occurrence de non-conformité. Pour chacune : quelle source de données l'a déclenchée (analyse 8.4, tendance de contrôle, signal fournisseur, NC chez un produit similaire, alerte concurrent) ? Si vous n'en avez aucune, ou si toutes vos « préventives » sont en réalité l'extension d'une corrective à d'autres lignes, expliquez-moi comment votre analyse de données 8.4 peut fonctionner sans jamais produire de signal préventif. || Sur votre dernière action préventive d'ampleur (modification de procédé, de conception ou de fournisseur) : montrez-moi l'évaluation de proportionnalité — en quoi l'effort engagé correspond-il à l'ampleur du problème potentiel ? — puis la vérification que l'action n'a pas dégradé autre chose : quels contrôles ont validé l'absence d'effet de bord, et le dossier de risques a-t-il été réinterrogé ?"
41,ISO14971,fabricant,Revue des informations post-production,,low,false,non,3,Q-14971-RIPP-2086 | Q-14971-RIPP-6339 | Q-14971-RIPP-4764,"Prenez une réclamation, un retour du terrain ou une nouvelle publication. Comment avez-vous vérifié si cette information révélait un nouveau risque ou modifiait un risque connu ? || Montrez-moi comment revue des informations de production et post-production pour impact risque relie votre analyse de risques à une décision concrète sur le produit. || Montrez-moi un exemple où une information venant du terrain a conduit à modifier le dossier de risques ou le dispositif."
42,ISO14971,fabricant,Lien risques-PMS-CAPA,,high,false,oui,3,Q-14971-LRPC-0459 | Q-14971-LRPC-0756 | Q-14971-LRPC-4390,"Prenez la dernière action corrective liée à cohérence entre réclamations, PMS, CAPA, conception et mise à jour du dossier de risques : déroulez-la du déclencheur jusqu'à la preuve d'efficacité vérifiée à distance. || Montrez-moi comment vous prouvez que l'action prise sur cohérence entre réclamations, PMS, CAPA, conception et mise à jour du dossier de risques a réellement empêché le problème de revenir. || Prenez la dernière action corrective liée à cohérence entre réclamations, PMS, CAPA, conception et mise à jour du dossier de risques : déroulez-la du déclencheur jusqu'à la preuve d'efficacité vérifiée à distance."
43,ISO14971,fabricant,Actions post-production,,low,false,non,3,Q-14971-APP-5733 | Q-14971-APP-7458 | Q-14971-APP-9033,"Prenez une information reçue après la production qui concernait la sécurité. Quelles actions avez-vous prises sur le dossier de risques et sur les dispositifs déjà sur le marché ? || Montrez-moi un exemple où une information venant du terrain a conduit à une décision sur le dispositif. Qui a décidé et pourquoi ? || Après une alerte de sécurité venant du terrain, comment avez-vous vérifié que les actions prises étaient efficaces ? Montrez-moi un cas réel."
44,ISO14971,fabricant,Processus gestion des risques,,high,false,oui,3,Q-14971-PGR-8687 | Q-14971-PGR-9738 | Q-14971-PGR-3372,"Choisissons un danger réel concerné par processus de gestion des risques couvrant toutes les phases du cycle de vie du dispositif : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment processus de gestion des risques couvrant toutes les phases du cycle de vie du dispositif relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par processus de gestion des risques couvrant toutes les phases du cycle de vie du dispositif : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
45,ISO14971,fabricant,Responsabilités direction risques,,high,false,oui,3,Q-14971-RDR-4511 | Q-14971-RDR-4214 | Q-14971-RDR-1036,"Choisissons un danger réel concerné par responsabilités, ressources et revue de direction pour la gestion des risques : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment responsabilités, ressources et revue de direction pour la gestion des risques relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par responsabilités, ressources et revue de direction pour la gestion des risques : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
46,ISO14971,fabricant,Compétence risques,,mid,false,oui,3,Q-14971-CR-6258 | Q-14971-CR-0864 | Q-14971-CR-2327,"Choisissons un danger réel concerné par compétence du personnel réalisant les activités de gestion des risques : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment compétence du personnel réalisant les activités de gestion des risques relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par compétence du personnel réalisant les activités de gestion des risques : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
47,ISO14971,fabricant,Plan de gestion des risques,,high,false,oui,3,Q-14971-PGR-1943 | Q-14971-PGR-1248 | Q-14971-PGR-4002,"Choisissons un danger réel concerné par plan de gestion des risques définissant périmètre, responsabilités, critères d’acceptabilité et activités : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment plan de gestion des risques définissant périmètre, responsabilités, critères d’acceptabilité et activités relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par plan de gestion des risques définissant périmètre, responsabilités, critères d’acceptabilité et activités : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
48,ISO14971,fabricant,Dossier de gestion des risques,,high,false,oui,3,Q-14971-DGR-2987 | Q-14971-DGR-5438 | Q-14971-DGR-9056,"Choisissons un danger réel concerné par dossier de gestion des risques traçable vers analyses, évaluations, contrôles et revues : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment dossier de gestion des risques traçable vers analyses, évaluations, contrôles et revues relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par dossier de gestion des risques traçable vers analyses, évaluations, contrôles et revues : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
49,ISO14971,fabricant,Analyse des risques,,high,false,oui,3,Q-14971-AR-6051 | Q-14971-AR-5754 | Q-14971-AR-2120,"Choisissons un danger réel concerné par analyse des risques sur le dispositif médical selon le plan approuvé : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment analyse des risques sur le dispositif médical selon le plan approuvé relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par analyse des risques sur le dispositif médical selon le plan approuvé : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
50,ISO14971,fabricant,Lien risques-utilisabilité,,low,false,non,3,Q-14971-LRU-1486 | Q-14971-LRU-1705 | Q-14971-LRU-3545,Prenez une erreur d'utilisation possible du dispositif. Comment l'avez-vous identifiée et comment avez-vous réduit le risque associé ? || Montrez-moi comment intégration des risques d’utilisation et erreurs d’usage dans l’analyse de risques relie votre analyse de risques à une décision concrète sur le produit. || Comment prenez-vous en compte les mauvaises utilisations que vous pouvez raisonnablement prévoir ? Montrez-moi un exemple.
51,ISO14971,fabricant,Lien risques-logiciel,,low,false,non,3,Q-14971-LRL-8098 | Q-14971-LRL-7801 | Q-14971-LRL-4167,"Prenez un risque lié au logiciel ou à la sécurité des données. Montrez comment vous l'avez identifié, évalué et réduit. || Montrez-moi comment intégration des risques logiciel, cybersécurité et données lorsque applicable relie votre analyse de risques à une décision concrète sur le produit. || Comment vérifiez-vous que les risques liés au logiciel et à la cybersécurité sont inclus dans votre analyse des risques ? Montrez-moi un exemple."
52,ISO14971,fabricant,Estimation des risques,,high,false,oui,3,Q-14971-ER-1264 | Q-14971-ER-9689 | Q-14971-ER-1630,"Choisissons un danger réel concerné par estimation des risques pour chaque situation dangereuse identifiée : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment estimation des risques pour chaque situation dangereuse identifiée relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par estimation des risques pour chaque situation dangereuse identifiée : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
53,ISO14971,fabricant,Évaluation des risques,,mid,false,oui,3,Q-14971-ER-8113 | Q-14971-ER-8253 | Q-14971-ER-0172,"Choisissons un danger réel concerné par comparaison des risques estimés aux critères d’acceptabilité définis : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment comparaison des risques estimés aux critères d’acceptabilité définis relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par comparaison des risques estimés aux critères d’acceptabilité définis : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
54,ISO14971,fabricant,Maîtrise des risques,,low,false,non,3,Q-14971-MR-4038 | Q-14971-MR-9153 | Q-14971-MR-9272,"Prenez un risque réel. Quelles mesures avez-vous envisagées, laquelle avez-vous retenue et pourquoi ? Montrez que le risque restant est acceptable. || Montrez-moi comment identification et sélection des mesures de maîtrise des risques relie votre analyse de risques à une décision concrète sur le produit. || Montrez-moi un exemple où l'analyse des risques a conduit à une décision ou à une modification du dispositif. Quelle preuve garde la trace de cette décision ?"
55,ISO14971,fabricant,Analyse options de maîtrise,,low,false,non,3,Q-14971-AOM-0896 | Q-14971-AOM-5470 | Q-14971-AOM-2955,"Pour un risque réel, avez-vous d'abord cherché à le réduire par la conception, puis par une protection, et enfin par une information de sécurité ? Montrez votre choix. || Montrez-moi un exemple où vous avez suivi l'ordre prévu pour réduire un risque. Pourquoi avez-vous retenu cette solution ? || Qui a choisi la mesure utilisée pour réduire le risque ? Montrez les preuves utilisées et comment son efficacité a été vérifiée."
